משנת דיגום 2012 קבוצת פרמטרים: מתכות;אורגנים תעשייה;חומרי הדברה;דלקים;כלוריד ניטרט,,,,,,,,,
זיהוי,שם,תא דיווח,שימוש,פרמטר,סוג תקן מי שתייה,ערך תקן,תאריך דיגום אחרון,ריכוז אחרון,אחוז מתקן מי השתיה
1417502,מק שיזף 4א,752,חברת מקורות,Cl,תקן ישראלי מותר,400,19/06/2017,674.9,168.7
1417502,מק שיזף 4א,752,חברת מקורות,CR,תקן ישראלי מותר,50,12/01/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,DCET,תקן ישראלי מותר,4,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,LIND,תקן ישראלי מותר,1,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,NI,תקן ישראלי מותר,20,12/01/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,NO3,תקן ישראלי מותר,70,05/11/2017,69,98.6
1417502,מק שיזף 4א,752,חברת מקורות,PB,תקן ישראלי מותר,10,12/01/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,TECE,תקן ישראלי מותר,10,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,25/10/2016,0,0
1417502,מק שיזף 4א,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,25/10/2016,0,0
1417701,מק שיזף 10,752,חברת מקורות,AS,תקן ישראלי מותר,10,06/04/2014,0,0
1417701,מק שיזף 10,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,06/04/2014,0,0
1417701,מק שיזף 10,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,06/04/2014,0,0
